# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2021-01-01
# NFiles = 288, max geo IngestTime = 2021-01-02 16:44:57.368588
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2021001.0530.061.2021001222746.hdf,2021-01-01 05:30,61,99272,D,135.030436209318,0.890482738146238,-20.0397940434896,109.84629262434,135.036062613811,113.03578055118,109.831663216345,130.742656374828,-16.8920645091262,-20.0617210937653,-2.0209464083756,0.91870568090086
MYD03.A2021001.0535.061.2021001222744.hdf,2021-01-01 05:35,61,99272,D,130.548498960444,18.7818175873742,-2.14870557721604,105.561960708789,130.55507046079,109.852902493459,105.515877029835,127.174003218567,0.818488576722707,-2.16762501447703,15.6782265289772,18.8658910900986
MYD03.A2021001.0540.061.2021001222749.hdf,2021-01-01 05:40,61,99273,D,127.171063946221,36.7230477174312,15.6148840261637,99.5218486726301,127.336481096741,105.578726262083,99.3117009118299,124.577673252332,18.7205083880642,15.5990832978408,33.0887228958802,36.9343233787874
MYD03.A2021001.0545.061.2021001222718.hdf,2021-01-01 05:45,61,99273,D,124.610415922634,54.6412837896983,33.0755071714001,89.3796598800844,124.950026203304,99.543587100804,89.1910341647485,122.976949247935,36.6606747818955,33.0717272603484,49.7635362895044,54.9709682364303
MYD03.A2021001.0550.061.2021001222740.hdf,2021-01-01 05:50,61,99273,B,124.37314611388,72.5568971538091,49.7609377100229,68.5610696919366,123.669364613199,89.433825762408,68.2145843512977,124.406838163157,54.5576821028248,49.7565969775571,64.2180603230174,72.860415511276
MYD03.A2021001.0555.061.2021001223441.hdf,2021-01-01 05:55,61,99273,N,180,89.9973870098888,64.3283270742856,-180,125.598482275405,68.6814231938215,22.0253922420317,-133.039645246155,72.3347532527051,64.326331383658,70.9307148875407,87.3939631874039
MYD03.A2021001.0600.061.2021001223640.hdf,2021-01-01 06:00,61,99273,N,22.1969919470411,89.4726932550387,63.5912141248567,-144.324229758353,-145.83400864099,22.1987354995018,-22.0013817151834,-76.0463760416698,87.1977931523731,71.2840842277534,63.3089433124124,70.9598229359773
MYD03.A2021001.0605.061.2021001222951.hdf,2021-01-01 06:05,61,99273,N,-22.5539621467956,71.5470349638428,48.7955855716338,-76.291092108832,-77.2113240975177,-22.5522383126407,-41.792544594135,-75.2888925418643,71.4397391343724,63.6467827422574,48.620706931183,53.1810074287713
MYD03.A2021001.0610.061.2021001223026.hdf,2021-01-01 06:10,61,99273,N,-42.3192511284994,53.6320976079639,32.0398871467884,-76.9528826718338,-75.7067342103844,-42.3167785596153,-51.6902068522321,-76.9690475859258,53.6447876277914,48.8612697145212,31.940505883792,35.3509116702801
MYD03.A2021001.0615.061.2021001222949.hdf,2021-01-01 06:15,61,99273,N,-52.078559326473,35.7156740570346,14.5782062419453,-79.5587532167498,-77.1705606936157,-52.0739753682841,-57.8362054432158,-79.5823991287206,35.7421289612101,32.1112240530773,14.5320545577287,17.5277945364358
MYD03.A2021001.0620.061.2021001222919.hdf,2021-01-01 06:20,61,99273,N,-58.0655939483349,17.7715287690231,-3.19641710185382,-82.9876595741266,-79.6829894781686,-58.0595147890957,-62.2090794677911,-83.0000506720614,17.8026073628804,14.6487540864033,-3.20669667906332,-0.22245715573045
MYD03.A2021001.0625.061.2021001222939.hdf,2021-01-01 06:25,61,99273,N,-62.2786529791513,-0.109263542795987,-21.0828221237723,-87.5536378308116,-83.0480971777305,-62.2291450805124,-65.5275534716496,-87.5604162250695,-0.0804922191541894,-3.1281402771172,-21.1832420657054,-17.8755326102836
MYD03.A2021001.0630.061.2021001222929.hdf,2021-01-01 06:30,61,99273,N,-65.5078876417402,-17.804300802393,-38.9873537748646,-94.1289102319267,-87.5343395880307,-65.1459820912863,-67.7881952445055,-94.1458117673531,-17.7814555979169,-21.0381920581234,-39.2120059307049,-35.1636191644835
MYD03.A2021001.0635.061.2021001222955.hdf,2021-01-01 06:35,61,99273,N,-67.7575893147238,-35.0919884876521,-56.8220345984331,-105.128654523097,-94.1014459702403,-67.2651679088933,-68.9366857131914,-105.28497880349,-35.079364514078,-38.9213731240481,-57.1561537628281,-51.5204434978083
MYD03.A2021001.0640.061.2021001223518.hdf,2021-01-01 06:40,61,99273,B,-66.2145469861734,-51.5066303818393,-74.6587684701269,-128.066963498931,-105.066942906727,-68.2158438683099,-66.1113882884021,-128.407965142928,-51.4999974635397,-56.7230970214814,-74.912785636307,-65.3225150233678
MYD03.A2021001.0645.061.2021001224038.hdf,2021-01-01 06:45,61,99273,D,180,-65.4470665910109,-89.9906613753422,-180,-127.913193824637,-64.9069588223637,60.0176122218168,-176.274750860759,-65.443267943639,-74.3547659424023,-85.9667590041333,-70.4385805182933
MYD03.A2021001.0650.061.2021001224039.hdf,2021-01-01 06:50,61,99273,D,-176.193788339832,-62.015324257128,-87.467736396759,54.2331887255278,-176.188397641018,50.8864701927868,91.2289886149756,143.232993069258,-70.7907334095375,-86.0816815685775,-69.0331060061302,-61.7296934272642
MYD03.A2021001.0655.061.2021001223301.hdf,2021-01-01 06:55,61,99273,D,142.643229045147,-47.0605282842205,-69.6289960819458,91.0233827733237,142.644861187975,90.229805924876,91.8268061552897,124.978845363823,-62.0752478693488,-69.5162442617527,-51.3466894568319,-46.871217949601
MYD03.A2021001.0700.061.2021001223108.hdf,2021-01-01 07:00,61,99273,D,124.397026724058,-30.3218652251384,-51.8003529335841,90.2434746497327,124.399219199013,91.5759168537078,90.2264343350004,115.519179347517,-47.1329854849989,-51.8149552483465,-33.5878567196197,-30.2064024010169
MYD03.A2021001.0705.061.2021001223018.hdf,2021-01-01 07:05,61,99273,D,115.054443947101,-12.8874991954094,-33.9463576026642,87.6879381979139,115.059089513769,90.1575917971944,87.6648506818063,109.504117092745,-30.3941959342301,-33.9684374075355,-15.8066642638844,-12.8271833705968
MYD03.A2021001.0710.061.2021001223036.hdf,2021-01-01 07:10,61,99273,D,109.187546645417,4.87388133438009,-16.0413712217662,84.2744149078713,109.193385374258,87.6837937320802,84.2644029341744,105.156200034745,-12.961936090932,-16.061890078268,1.92931540513944,4.89539722093497
